episode,train_reward,train_score,train_energy,actor_loss,critic_loss,eval_reward,eval_score,eval_energy
1,16.0,0.777778,-2.0,0.0,0.000782,-12.0,0.611111,-5.0
2,4.0,0.638889,1.0,0.0,0.255307,-2827.0,0.305556,11.0
3,-97.0,0.944444,-5.0,-0.019238,1.078481,-3036.0,0.333333,6.0
4,-51.0,0.416667,12.0,-0.012889,0.209508,-1192.0,0.486111,3.0
5,-12.0,0.777778,0.0,-0.017699,0.13179,2.0,0.5,-3.0
